Year,Round,Game,Seed,Team
2010,1,5,6,Tennessee
2010,1,5,11,San Diego St.
2010,1,6,3,Georgetown
2010,1,6,14,Ohio
2010,1,7,7,Oklahoma St.
2010,1,7,10,Georgia Tech
2010,1,8,2,Ohio St.
2010,1,8,15,UC Santa Barbara
2010,1,9,1,Syracuse
2010,1,9,16,Vermont
2010,1,10,8,Gonzaga
2010,1,10,9,Florida St.
2010,1,11,5,Butler
2010,1,11,12,UTEP
2010,1,12,4,Vanderbilt
2010,1,12,13,Murray St.
2010,1,13,6,Xavier
2010,1,13,11,Minnesota
2010,1,14,3,Pittsburgh
2010,1,14,14,Oakland
2010,1,15,7,BYU
2010,1,15,10,Florida
2010,1,16,2,Kansas St.
2010,1,16,15,North Texas
2010,1,17,1,Kentucky
2010,1,17,16,East Tennessee St.
2010,1,18,8,Texas
2010,1,18,9,Wake Forest
2010,1,19,5,Temple
2010,1,19,12,Cornell
2010,1,20,4,Wisconsin
2010,1,20,13,Wofford
2010,1,21,6,Marquette
2010,1,21,11,Washington
2010,1,22,3,New Mexico
2010,1,22,14,Montana
2010,1,23,7,Clemson
2010,1,23,10,Missouri
2010,1,24,2,West Virginia
2010,1,24,15,Morgan St.
2010,1,25,1,Duke
2010,1,25,16,Arkansas Pine Bluff
2010,1,26,8,California
2010,1,26,9,Louisville
2010,1,27,5,Texas A&M
2010,1,27,12,Utah St.
2010,1,28,4,Purdue
2010,1,28,13,Siena
2010,1,29,6,Notre Dame
2010,1,29,11,Old Dominion
2010,1,30,3,Baylor
2010,1,30,14,Sam Houston St.
2010,1,31,7,Richmond
2010,1,31,10,Saint Mary's
2010,1,32,2,Villanova
2010,1,32,15,Robert Morris
2010,2,33,1,Kansas
2010,2,33,9,Northern Iowa
2010,2,34,4,Maryland
2010,2,34,5,Michigan St.
2010,2,35,6,Tennessee
2010,2,35,14,Ohio
2010,2,36,2,Ohio St.
2010,2,36,10,Georgia Tech
2010,2,37,1,Syracuse
2010,2,37,8,Gonzaga
2010,2,38,5,Butler
2010,2,38,13,Murray St.
2010,2,39,3,Pittsburgh
2010,2,39,6,Xavier
2010,2,40,2,Kansas St.
2010,2,40,7,BYU
2010,2,41,1,Kentucky
2010,2,41,9,Wake Forest
2010,2,42,4,Wisconsin
2010,2,42,12,Cornell
2010,2,43,3,New Mexico
2010,2,43,11,Washington
2010,2,44,2,West Virginia
2010,2,44,10,Missouri
2010,2,45,1,Duke
2010,2,45,8,California
2010,2,46,4,Purdue
2010,2,46,5,Texas A&M
2010,2,47,3,Baylor
2010,2,47,11,Old Dominion
2010,2,48,2,Villanova
2010,2,48,10,Saint Mary's
2010,3,49,5,Michigan St.
2010,3,49,9,Northern Iowa
2010,3,50,2,Ohio St.
2010,3,50,6,Tennessee
2010,3,51,1,Syracuse
2010,3,51,5,Butler
2010,3,52,2,Kansas St.
2010,3,52,6,Xavier
2010,3,53,1,Kentucky
2010,3,53,12,Cornell
2010,3,54,2,West Virginia
2010,3,54,11,Washington
2010,3,55,1,Duke
2010,3,55,4,Purdue
2010,3,56,3,Baylor
2010,3,56,10,Saint Mary's
2010,4,57,5,Michigan St.
2010,4,57,6,Tennessee
2010,4,58,2,Kansas St.
2010,4,58,5,Butler
2010,4,59,1,Kentucky
2010,4,59,2,West Virginia
2010,4,60,1,Duke
2010,4,60,3,Baylor
2010,5,61,5,Butler
2010,5,61,5,Michigan St.
2010,5,62,1,Duke
2010,5,62,2,West Virginia
2010,6,63,1,Duke
2010,6,63,5,Butler
2011,PI,-4,16,UTSA
2011,PI,-4,16,Alabama St.
2011,PI,-3,12,Clemson
2011,PI,-3,12,UAB
2011,PI,-2,11,VCU
2011,PI,-2,11,USC
2011,PI,-1,16,UNC Asheville
2011,PI,-1,16,Little Rock
2011,1,1,1,Ohio St.
2011,1,1,16,UTSA
2011,1,2,8,George Mason
2011,1,2,9,Villanova
2011,1,3,5,West Virginia
2011,1,3,12,Clemson
2011,1,4,4,Kentucky
2011,1,4,13,Princeton
2011,1,5,6,Xavier
2011,1,5,11,Marquette
2011,1,6,3,Syracuse
2011,1,6,14,Indiana St.
2011,1,7,7,Washington
2011,1,7,10,Georgia
2011,1,8,2,North Carolina
2011,1,8,15,LIU
2011,1,9,1,Duke
2011,1,9,16,Hampton
2011,1,10,8,Michigan
2011,1,10,9,Tennessee
2011,1,11,5,Arizona
2011,1,11,12,Memphis
2011,1,12,4,Texas
2011,1,12,13,Oakland
2011,1,13,6,Cincinnati
2011,1,13,11,Missouri
2011,1,14,3,Connecticut
2011,1,14,14,Bucknell
2011,1,15,7,Temple
2011,1,15,10,Penn St.
2011,1,16,2,San Diego St.
2011,1,16,15,Northern Colorado
2011,1,17,1,Kansas
2011,1,17,16,Boston University
2011,1,18,8,UNLV
2011,1,18,9,Illinois
2011,1,19,5,Vanderbilt
2011,1,19,12,Richmond
2011,1,20,4,Louisville
2011,1,20,13,Morehead St.
2011,1,21,6,Georgetown
2011,1,21,11,VCU
2011,1,22,3,Purdue
2011,1,22,14,Saint Peter's
2011,1,23,7,Texas A&M
2011,1,23,10,Florida St.
2011,1,24,2,Notre Dame
2011,1,24,15,Akron
2011,1,25,1,Pittsburgh
2011,1,25,16,UNC Asheville
2011,1,26,8,Butler
2011,1,26,9,Old Dominion
2011,1,27,5,Kansas St.
2011,1,27,12,Utah St.
2011,1,28,4,Wisconsin
2011,1,28,13,Belmont
2011,1,29,6,St. John's
2011,1,29,11,Gonzaga
2011,1,30,3,BYU
2011,1,30,14,Wofford
2011,1,31,7,UCLA
2011,1,31,10,Michigan St.
2011,1,32,2,Florida
2011,1,32,15,UC Santa Barbara
2011,2,33,1,Ohio St.
2011,2,33,8,George Mason
2011,2,34,4,Kentucky
2011,2,34,5,West Virginia
2011,2,35,3,Syracuse
2011,2,35,11,Marquette
2011,2,36,2,North Carolina
2011,2,36,7,Washington
2011,2,37,1,Duke
2011,2,37,8,Michigan
2011,2,38,4,Texas
2011,2,38,5,Arizona
2011,2,39,3,Connecticut
2011,2,39,6,Cincinnati
2011,2,40,2,San Diego St.
2011,2,40,7,Temple
2011,2,41,1,Kansas
2011,2,41,9,Illinois
2011,2,42,12,Richmond
2011,2,42,13,Morehead St.
2011,2,43,3,Purdue
2011,2,43,11,VCU
2011,2,44,2,Notre Dame
2011,2,44,10,Florida St.
2011,2,45,1,Pittsburgh
2011,2,45,8,Butler
2011,2,46,4,Wisconsin
2011,2,46,5,Kansas St.
2011,2,47,3,BYU
2011,2,47,11,Gonzaga
2011,2,48,2,Florida
2011,2,48,7,UCLA
2011,3,49,1,Ohio St.
2011,3,49,4,Kentucky
2011,3,50,2,North Carolina
2011,3,50,11,Marquette
2011,3,51,1,Duke
2011,3,51,5,Arizona
2011,3,52,2,San Diego St.
2011,3,52,3,Connecticut
2011,3,53,1,Kansas
2011,3,53,12,Richmond
2011,3,54,10,Florida St.
2011,3,54,11,VCU
2011,3,55,4,Wisconsin
2011,3,55,8,Butler
2011,3,56,2,Florida
2011,3,56,3,BYU
2011,4,57,2,North Carolina
2011,4,57,4,Kentucky
2011,4,58,3,Connecticut
2011,4,58,5,Arizona
2011,4,59,1,Kansas
2011,4,59,11,VCU
2011,4,60,2,Florida
2011,4,60,8,Butler
2011,5,61,3,Connecticut
2011,5,61,4,Kentucky
2011,5,62,8,Butler
2011,5,62,11,VCU
2011,6,63,3,Connecticut
2011,6,63,8,Butler
2012,PI,-4,16,Western Kentucky
2012,PI,-4,16,Mississippi Valley St.
2012,PI,-3,14,BYU
2012,PI,-3,14,Iona
2012,PI,-2,16,Vermont
2012,PI,-2,16,Lamar
2012,PI,-1,12,South Florida
2012,PI,-1,12,California
2012,1,1,1,Kentucky
2012,1,1,16,Western Kentucky
2012,1,2,8,Iowa St.
2012,1,2,9,Connecticut
2012,1,3,5,Wichita St.
2012,1,3,12,VCU
2012,1,4,4,Indiana
2012,1,4,13,New Mexico St.
2012,1,5,6,UNLV
2012,1,5,11,Colorado
2012,1,6,3,Baylor
2012,1,6,14,South Dakota St.
2012,1,7,7,Notre Dame
2012,1,7,10,Xavier
2012,1,8,2,Duke
2012,1,8,15,Lehigh
2012,1,9,1,Michigan St.
2012,1,9,16,LIU
2012,1,10,8,Memphis
2012,1,10,9,Saint Louis
2012,1,11,5,New Mexico
2012,1,11,12,Long Beach St.
2012,1,12,4,Louisville
2012,1,12,13,Davidson
2012,1,13,6,Murray St.
2012,1,13,11,Colorado St.
2012,1,14,3,Marquette
2012,1,14,14,BYU
2012,1,15,7,Florida
2012,1,15,10,Virginia
2012,1,16,2,Missouri
2012,1,16,15,Norfolk St.
2012,1,17,1,Syracuse
2012,1,17,16,UNC Asheville
2012,1,18,8,Kansas St.
2012,1,18,9,Southern Miss
2012,1,19,5,Vanderbilt
2012,1,19,12,Harvard
2012,1,20,4,Wisconsin
2012,1,20,13,Montana
2012,1,21,6,Cincinnati
2012,1,21,11,Texas
2012,1,22,3,Florida St.
2012,1,22,14,St. Bonaventure
2012,1,23,7,Gonzaga
2012,1,23,10,West Virginia
2012,1,24,2,Ohio St.
2012,1,24,15,Loyola MD
2012,1,25,1,North Carolina
2012,1,25,16,Vermont
2012,1,26,8,Creighton
2012,1,26,9,Alabama
2012,1,27,5,Temple
2012,1,27,12,South Florida
2012,1,28,4,Michigan
2012,1,28,13,Ohio
2012,1,29,6,San Diego St.
2012,1,29,11,North Carolina St.
2012,1,30,3,Georgetown
2012,1,30,14,Belmont
2012,1,31,7,Saint Mary's
2012,1,31,10,Purdue
2012,1,32,2,Kansas
2012,1,32,15,Detroit
2012,2,33,1,Kentucky
2012,2,33,8,Iowa St.
2012,2,34,4,Indiana
2012,2,34,12,VCU
2012,2,35,3,Baylor
2012,2,35,11,Colorado
2012,2,36,10,Xavier
2012,2,36,15,Lehigh
2012,2,37,1,Michigan St.
2012,2,37,9,Saint Louis
2012,2,38,4,Louisville
2012,2,38,5,New Mexico
2012,2,39,3,Marquette
2012,2,39,6,Murray St.
2012,2,40,7,Florida
2012,2,40,15,Norfolk St.
2012,2,41,1,Syracuse
2012,2,41,8,Kansas St.
2012,2,42,4,Wisconsin
2012,2,42,5,Vanderbilt
2012,2,43,3,Florida St.
2012,2,43,6,Cincinnati
2012,2,44,2,Ohio St.
2012,2,44,7,Gonzaga
2012,2,45,1,North Carolina
2012,2,45,8,Creighton
2012,2,46,12,South Florida
2012,2,46,13,Ohio
2012,2,47,3,Georgetown
2012,2,47,11,North Carolina St.
2012,2,48,2,Kansas
2012,2,48,10,Purdue
2012,3,49,1,Kentucky
2012,3,49,4,Indiana
2012,3,50,3,Baylor
2012,3,50,10,Xavier
2012,3,51,1,Michigan St.
2012,3,51,4,Louisville
2012,3,52,3,Marquette
2012,3,52,7,Florida
2012,3,53,1,Syracuse
2012,3,53,4,Wisconsin
2012,3,54,2,Ohio St.
2012,3,54,6,Cincinnati
2012,3,55,1,North Carolina
2012,3,55,13,Ohio
2012,3,56,2,Kansas
2012,3,56,11,North Carolina St.
2012,4,57,1,Kentucky
2012,4,57,3,Baylor
2012,4,58,4,Louisville
2012,4,58,7,Florida
2012,4,59,1,Syracuse
2012,4,59,2,Ohio St.
2012,4,60,1,North Carolina
2012,4,60,2,Kansas
2012,5,61,1,Kentucky
2012,5,61,4,Louisville
2012,5,62,2,Kansas
2012,5,62,2,Ohio St.
2012,6,63,1,Kentucky
2012,6,63,2,Kansas
2013,PI,-4,16,North Carolina A&T
2013,PI,-4,16,Liberty
2013,PI,-3,11,Saint Mary's
2013,PI,-3,11,Middle Tennessee
2013,PI,-2,16,James Madison
2013,PI,-2,16,LIU
2013,PI,-1,13,La Salle
2013,PI,-1,13,Boise St.
2013,1,1,1,Louisville
2013,1,1,16,North Carolina A&T
2013,1,2,8,Colorado St.
2013,1,2,9,Missouri
2013,1,3,5,Oklahoma St.
2013,1,3,12,Oregon
2013,1,4,4,Saint Louis
2013,1,4,13,New Mexico St.
2013,1,5,6,Memphis
2013,1,5,11,Saint Mary's
2013,1,6,3,Michigan St.
2013,1,6,14,Valparaiso
2013,1,7,7,Creighton
2013,1,7,10,Cincinnati
2013,1,8,2,Duke
2013,1,8,15,Albany
2013,1,9,1,Gonzaga
2013,1,9,16,Southern
2013,1,10,8,Pittsburgh
2013,1,10,9,Wichita St.
2013,1,11,5,Wisconsin
2013,1,11,12,Mississippi
2013,1,12,4,Kansas St.
2013,1,12,13,La Salle
2013,1,13,6,Arizona
2013,1,13,11,Belmont
2013,1,14,3,New Mexico
2013,1,14,14,Harvard
2013,1,15,7,Notre Dame
2013,1,15,10,Iowa St.
2013,1,16,2,Ohio St.
2013,1,16,15,Iona
2013,1,17,1,Kansas
2013,1,17,16,Western Kentucky
2013,1,18,8,North Carolina
2013,1,18,9,Villanova
2013,1,19,5,VCU
2013,1,19,12,Akron
2013,1,20,4,Michigan
2013,1,20,13,South Dakota St.
2013,1,21,6,UCLA
2013,1,21,11,Minnesota
2013,1,22,3,Florida
2013,1,22,14,Northwestern St.
2013,1,23,7,San Diego St.
2013,1,23,10,Oklahoma
2013,1,24,2,Georgetown
2013,1,24,15,Florida Gulf Coast
2013,1,25,1,Indiana
2013,1,25,16,James Madison
2013,1,26,8,North Carolina St.
2013,1,26,9,Temple
2013,1,27,5,UNLV
2013,1,27,12,California
2013,1,28,4,Syracuse
2013,1,28,13,Montana
2013,1,29,6,Butler
2013,1,29,11,Bucknell
2013,1,30,3,Marquette
2013,1,30,14,Davidson
2013,1,31,7,Illinois
2013,1,31,10,Colorado
2013,1,32,2,Miami FL
2013,1,32,15,Pacific
2013,2,33,1,Louisville
2013,2,33,8,Colorado St.
2013,2,34,4,Saint Louis
2013,2,34,12,Oregon
2013,2,35,3,Michigan St.
2013,2,35,6,Memphis
2013,2,36,2,Duke
2013,2,36,7,Creighton
2013,2,37,1,Gonzaga
2013,2,37,9,Wichita St.
2013,2,38,12,Mississippi
2013,2,38,13,La Salle
2013,2,39,6,Arizona
2013,2,39,14,Harvard
2013,2,40,2,Ohio St.
2013,2,40,10,Iowa St.
2013,2,41,1,Kansas
2013,2,41,8,North Carolina
2013,2,42,4,Michigan
2013,2,42,5,VCU
2013,2,43,3,Florida
2013,2,43,11,Minnesota
2013,2,44,7,San Diego St.
2013,2,44,15,Florida Gulf Coast
2013,2,45,1,Indiana
2013,2,45,9,Temple
2013,2,46,4,Syracuse
2013,2,46,12,California
2013,2,47,3,Marquette
2013,2,47,6,Butler
2013,2,48,2,Miami FL
2013,2,48,7,Illinois
2013,3,49,1,Louisville
2013,3,49,12,Oregon
2013,3,50,2,Duke
2013,3,50,3,Michigan St.
2013,3,51,9,Wichita St.
2013,3,51,13,La Salle
2013,3,52,2,Ohio St.
2013,3,52,6,Arizona
2013,3,53,1,Kansas
2013,3,53,4,Michigan
2013,3,54,3,Florida
2013,3,54,15,Florida Gulf Coast
2013,3,55,1,Indiana
2013,3,55,4,Syracuse
2013,3,56,2,Miami FL
2013,3,56,3,Marquette
2013,4,57,1,Louisville
2013,4,57,2,Duke
2013,4,58,2,Ohio St.
2013,4,58,9,Wichita St.
2013,4,59,3,Florida
2013,4,59,4,Michigan
2013,4,60,3,Marquette
2013,4,60,4,Syracuse
2013,5,61,1,Louisville
2013,5,61,9,Wichita St.
2013,5,62,4,Michigan
2013,5,62,4,Syracuse
2013,6,63,1,Louisville
2013,6,63,4,Michigan
2014,PI,-4,16,Albany
2014,PI,-4,16,Mount St. Mary's
2014,PI,-3,12,North Carolina St.
2014,PI,-3,12,Xavier
2014,PI,-2,16,Cal Poly
2014,PI,-2,16,Texas Southern
2014,PI,-1,11,Tennessee
2014,PI,-1,11,Iowa
2014,1,1,1,Florida
2014,1,1,16,Albany
2014,1,2,8,Colorado
2014,1,2,9,Pittsburgh
2014,1,3,5,VCU
2014,1,3,12,Stephen F. Austin
2014,1,4,4,UCLA
2014,1,4,13,Tulsa
2014,1,5,6,Ohio St.
2014,1,5,11,Dayton
2014,1,6,3,Syracuse
2014,1,6,14,Western Michigan
2014,1,7,7,New Mexico
2014,1,7,10,Stanford
2014,1,8,2,Kansas
2014,1,8,15,Eastern Kentucky
2014,1,9,1,Virginia
2014,1,9,16,Coastal Carolina
2014,1,10,8,Memphis
2014,1,10,9,George Washington
2014,1,11,5,Cincinnati
2014,1,11,12,Harvard
2014,1,12,4,Michigan St.
2014,1,12,13,Delaware
2014,1,13,6,North Carolina
2014,1,13,11,Providence
2014,1,14,3,Iowa St.
2014,1,14,14,North Carolina Central
2014,1,15,7,Connecticut
2014,1,15,10,Saint Joseph's
2014,1,16,2,Villanova
2014,1,16,15,Milwaukee
2014,1,17,1,Arizona
2014,1,17,16,Weber St.
2014,1,18,8,Gonzaga
2014,1,18,9,Oklahoma St.
2014,1,19,5,Oklahoma
2014,1,19,12,North Dakota St.
2014,1,20,4,San Diego St.
2014,1,20,13,New Mexico St.
2014,1,21,6,Baylor
2014,1,21,11,Nebraska
2014,1,22,3,Creighton
2014,1,22,14,Lafayette
2014,1,23,7,Oregon
2014,1,23,10,BYU
2014,1,24,2,Wisconsin
2014,1,24,15,American
2014,1,25,1,Wichita St.
2014,1,25,16,Cal Poly
2014,1,26,8,Kentucky
2014,1,26,9,Kansas St.
2014,1,27,5,Saint Louis
2014,1,27,12,North Carolina St.
2014,1,28,4,Louisville
2014,1,28,13,Manhattan
2014,1,29,6,Massachusetts
2014,1,29,11,Tennessee
2014,1,30,3,Duke
2014,1,30,14,Mercer
2014,1,31,7,Texas
2014,1,31,10,Arizona St.
2014,1,32,2,Michigan
2014,1,32,15,Wofford
2014,2,33,1,Florida
2014,2,33,9,Pittsburgh
2014,2,34,4,UCLA
2014,2,34,12,Stephen F. Austin
2014,2,35,3,Syracuse
2014,2,35,11,Dayton
2014,2,36,2,Kansas
2014,2,36,10,Stanford
2014,2,37,1,Virginia
2014,2,37,8,Memphis
2014,2,38,4,Michigan St.
2014,2,38,12,Harvard
2014,2,39,3,Iowa St.
2014,2,39,6,North Carolina
2014,2,40,2,Villanova
2014,2,40,7,Connecticut
2014,2,41,1,Arizona
2014,2,41,8,Gonzaga
2014,2,42,4,San Diego St.
2014,2,42,12,North Dakota St.
2014,2,43,3,Creighton
2014,2,43,6,Baylor
2014,2,44,2,Wisconsin
2014,2,44,7,Oregon
2014,2,45,1,Wichita St.
2014,2,45,8,Kentucky
2014,2,46,4,Louisville
2014,2,46,5,Saint Louis
2014,2,47,11,Tennessee
2014,2,47,14,Mercer
2014,2,48,2,Michigan
2014,2,48,7,Texas
2014,3,49,1,Florida
2014,3,49,4,UCLA
2014,3,50,10,Stanford
2014,3,50,11,Dayton
2014,3,51,1,Virginia
2014,3,51,4,Michigan St.
2014,3,52,3,Iowa St.
2014,3,52,7,Connecticut
2014,3,53,1,Arizona
2014,3,53,4,San Diego St.
2014,3,54,2,Wisconsin
2014,3,54,6,Baylor
2014,3,55,4,Louisville
2014,3,55,8,Kentucky
2014,3,56,2,Michigan
2014,3,56,11,Tennessee
2014,4,57,1,Florida
2014,4,57,11,Dayton
2014,4,58,4,Michigan St.
2014,4,58,7,Connecticut
2014,4,59,1,Arizona
2014,4,59,2,Wisconsin
2014,4,60,2,Michigan
2014,4,60,8,Kentucky
2014,5,61,1,Florida
2014,5,61,7,Connecticut
2014,5,62,2,Wisconsin
2014,5,62,8,Kentucky
2014,6,63,7,Connecticut
2014,6,63,8,Kentucky
2015,PI,-4,16,Hampton
2015,PI,-4,16,Manhattan
2015,PI,-3,11,Mississippi
2015,PI,-3,11,BYU
2015,PI,-2,11,Dayton
2015,PI,-2,11,Boise St.
2015,PI,-1,16,Robert Morris
2015,PI,-1,16,North Florida
2015,1,1,1,Kentucky
2015,1,1,16,Hampton
2015,1,2,8,Cincinnati
2015,1,2,9,Purdue
2015,1,3,5,West Virginia
2015,1,3,12,Buffalo
2015,1,4,4,Maryland
2015,1,4,13,Valparaiso
2015,1,5,6,Butler
2015,1,5,11,Texas
2015,1,6,3,Notre Dame
2015,1,6,14,Northeastern
2015,1,7,7,Wichita St.
2015,1,7,10,Indiana
2015,1,8,2,Kansas
2015,1,8,15,New Mexico St.
2015,1,9,1,Wisconsin
2015,1,9,16,Coastal Carolina
2015,1,10,8,Oregon
2015,1,10,9,Oklahoma St.
2015,1,11,5,Arkansas
2015,1,11,12,Wofford
2015,1,12,4,North Carolina
2015,1,12,13,Harvard
2015,1,13,6,Xavier
2015,1,13,11,Mississippi
2015,1,14,3,Baylor
2015,1,14,14,Georgia St.
2015,1,15,7,VCU
2015,1,15,10,Ohio St.
2015,1,16,2,Arizona
2015,1,16,15,Texas Southern
2015,1,17,1,Villanova
2015,1,17,16,Lafayette
2015,1,18,8,North Carolina St.
2015,1,18,9,LSU
2015,1,19,5,Northern Iowa
2015,1,19,12,Wyoming
2015,1,20,4,Louisville
2015,1,20,13,UC Irvine
2015,1,21,6,Providence
2015,1,21,11,Dayton
2015,1,22,3,Oklahoma
2015,1,22,14,Albany
2015,1,23,7,Michigan St.
2015,1,23,10,Georgia
2015,1,24,2,Virginia
2015,1,24,15,Belmont
2015,1,25,1,Duke
2015,1,25,16,Robert Morris
2015,1,26,8,San Diego St.
2015,1,26,9,St. John's
2015,1,27,5,Utah
2015,1,27,12,Stephen F. Austin
2015,1,28,4,Georgetown
2015,1,28,13,Eastern Washington
2015,1,29,6,SMU
2015,1,29,11,UCLA
2015,1,30,3,Iowa St.
2015,1,30,14,UAB
2015,1,31,7,Iowa
2015,1,31,10,Davidson
2015,1,32,2,Gonzaga
2015,1,32,15,North Dakota St.
2015,2,33,1,Kentucky
2015,2,33,8,Cincinnati
2015,2,34,4,Maryland
2015,2,34,5,West Virginia
2015,2,35,3,Notre Dame
2015,2,35,6,Butler
2015,2,36,2,Kansas
2015,2,36,7,Wichita St.
2015,2,37,1,Wisconsin
2015,2,37,8,Oregon
2015,2,38,4,North Carolina
2015,2,38,5,Arkansas
2015,2,39,6,Xavier
2015,2,39,14,Georgia St.
2015,2,40,2,Arizona
2015,2,40,10,Ohio St.
2015,2,41,1,Villanova
2015,2,41,8,North Carolina St.
2015,2,42,4,Louisville
2015,2,42,5,Northern Iowa
2015,2,43,3,Oklahoma
2015,2,43,11,Dayton
2015,2,44,2,Virginia
2015,2,44,7,Michigan St.
2015,2,45,1,Duke
2015,2,45,8,San Diego St.
2015,2,46,4,Georgetown
2015,2,46,5,Utah
2015,2,47,11,UCLA
2015,2,47,14,UAB
2015,2,48,2,Gonzaga
2015,2,48,7,Iowa
2015,3,49,1,Kentucky
2015,3,49,5,West Virginia
2015,3,50,3,Notre Dame
2015,3,50,7,Wichita St.
2015,3,51,1,Wisconsin
2015,3,51,4,North Carolina
2015,3,52,2,Arizona
2015,3,52,6,Xavier
2015,3,53,4,Louisville
2015,3,53,8,North Carolina St.
2015,3,54,3,Oklahoma
2015,3,54,7,Michigan St.
2015,3,55,1,Duke
2015,3,55,5,Utah
2015,3,56,2,Gonzaga
2015,3,56,11,UCLA
2015,4,57,1,Kentucky
2015,4,57,3,Notre Dame
2015,4,58,1,Wisconsin
2015,4,58,2,Arizona
2015,4,59,4,Louisville
2015,4,59,7,Michigan St.
2015,4,60,1,Duke
2015,4,60,2,Gonzaga
2015,5,61,1,Wisconsin
2015,5,61,1,Kentucky
2015,5,62,1,Duke
2015,5,62,7,Michigan St.
2015,6,63,1,Duke
2015,6,63,1,Wisconsin
2016,PI,-4,11,Wichita St.
2016,PI,-4,11,Vanderbilt
2016,PI,-3,16,Holy Cross
2016,PI,-3,16,Southern
2016,PI,-2,16,Florida Gulf Coast
2016,PI,-2,16,Fairleigh Dickinson
2016,PI,-1,11,Michigan
2016,PI,-1,11,Tulsa
2016,1,1,1,Kansas
2016,1,1,16,Austin Peay
2016,1,2,8,Colorado
2016,1,2,9,Connecticut
2016,1,3,5,Maryland
2016,1,3,12,South Dakota St.
2016,1,4,4,California
2016,1,4,13,Hawaii
2016,1,5,6,Arizona
2016,1,5,11,Wichita St.
2016,1,6,3,Miami FL
2016,1,6,14,Buffalo
2016,1,7,7,Iowa
2016,1,7,10,Temple
2016,1,8,2,Villanova
2016,1,8,15,UNC Asheville
2016,1,9,1,Oregon
2016,1,9,16,Holy Cross
2016,1,10,8,Saint Joseph's
2016,1,10,9,Cincinnati
2016,1,11,5,Baylor
2016,1,11,12,Yale
2016,1,12,4,Duke
2016,1,12,13,UNC Wilmington
2016,1,13,6,Texas
2016,1,13,11,Northern Iowa
2016,1,14,3,Texas A&M
2016,1,14,14,Green Bay
2016,1,15,7,Oregon St.
2016,1,15,10,VCU
2016,1,16,2,Oklahoma
2016,1,16,15,Cal St. Bakersfield
2016,1,17,1,North Carolina
2016,1,17,16,Florida Gulf Coast
2016,1,18,8,USC
2016,1,18,9,Providence
2016,1,19,5,Indiana
2016,1,19,12,Chattanooga
2016,1,20,4,Kentucky
2016,1,20,13,Stony Brook
2016,1,21,6,Notre Dame
2016,1,21,11,Michigan
2016,1,22,3,West Virginia
2016,1,22,14,Stephen F. Austin
2016,1,23,7,Wisconsin
2016,1,23,10,Pittsburgh
2016,1,24,2,Xavier
2016,1,24,15,Weber St.
2016,1,25,1,Virginia
2016,1,25,16,Hampton
2016,1,26,8,Texas Tech
2016,1,26,9,Butler
2016,1,27,5,Purdue
2016,1,27,12,Little Rock
2016,1,28,4,Iowa St.
2016,1,28,13,Iona
2016,1,29,6,Seton Hall
2016,1,29,11,Gonzaga
2016,1,30,3,Utah
2016,1,30,14,Fresno St.
2016,1,31,7,Dayton
2016,1,31,10,Syracuse
2016,1,32,2,Michigan St.
2016,1,32,15,Middle Tennessee
2016,2,33,1,Kansas
2016,2,33,9,Connecticut
2016,2,34,5,Maryland
2016,2,34,13,Hawaii
2016,2,35,3,Miami FL
2016,2,35,11,Wichita St.
2016,2,36,2,Villanova
2016,2,36,7,Iowa
2016,2,37,1,Oregon
2016,2,37,8,Saint Joseph's
2016,2,38,4,Duke
2016,2,38,12,Yale
2016,2,39,3,Texas A&M
2016,2,39,11,Northern Iowa
2016,2,40,2,Oklahoma
2016,2,40,10,VCU
2016,2,41,1,North Carolina
2016,2,41,9,Providence
2016,2,42,4,Kentucky
2016,2,42,5,Indiana
2016,2,43,6,Notre Dame
2016,2,43,14,Stephen F. Austin
2016,2,44,2,Xavier
2016,2,44,7,Wisconsin
2016,2,45,1,Virginia
2016,2,45,9,Butler
2016,2,46,4,Iowa St.
2016,2,46,12,Little Rock
2016,2,47,3,Utah
2016,2,47,11,Gonzaga
2016,2,48,10,Syracuse
2016,2,48,15,Middle Tennessee
2016,3,49,1,Kansas
2016,3,49,5,Maryland
2016,3,50,2,Villanova
2016,3,50,3,Miami FL
2016,3,51,1,Oregon
2016,3,51,4,Duke
2016,3,52,2,Oklahoma
2016,3,52,3,Texas A&M
2016,3,53,1,North Carolina
2016,3,53,5,Indiana
2016,3,54,6,Notre Dame
2016,3,54,7,Wisconsin
2016,3,55,1,Virginia
2016,3,55,4,Iowa St.
2016,3,56,10,Syracuse
2016,3,56,11,Gonzaga
2016,4,57,1,Kansas
2016,4,57,2,Villanova
2016,4,58,1,Oregon
2016,4,58,2,Oklahoma
2016,4,59,1,North Carolina
2016,4,59,6,Notre Dame
2016,4,60,1,Virginia
2016,4,60,10,Syracuse
2016,5,61,2,Villanova
2016,5,61,2,Oklahoma
2016,5,62,1,North Carolina
2016,5,62,10,Syracuse
2016,6,63,1,North Carolina
2016,6,63,2,Villanova
2017,PI,-4,16,Mount St. Mary's
2017,PI,-4,16,New Orleans
2017,PI,-3,11,USC
2017,PI,-3,11,Providence
2017,PI,-2,16,UC Davis
2017,PI,-2,16,North Carolina Central
2017,PI,-1,11,Kansas St.
2017,PI,-1,11,Wake Forest
2017,1,1,1,Villanova
2017,1,1,16,Mount St. Mary's
2017,1,2,8,Wisconsin
